No,分局,派出所,警編,位置
1,新興分局,中山所,KC98A0015,中山一路與中正四路美麗島站(東側)向西
2,新興分局,中山所,KC98A0016,中山一路與中正四路美麗島站(東側)向西
3,新興分局,中山所,KC98A0017,中山一路與中正四路美麗島站(西側)向東
4,新興分局,中山所,KC98A0018,中山一路與中正四路美麗島站(西側)向東
5,新興分局,中山所,KC98A0019,中山一路與中正四路美麗島站(南側)向北
6,新興分局,中山所,KC98A0020,中山一路與中正四路美麗島站(南側)向北
7,新興分局,中山所,KC98A0021,中山一路與中正四路美麗島站(北側)向南
8,新興分局,中山所,KC98A0022,中山一路與中正四路美麗島站(北側)向南
9,新興分局,中山所,KC98C0049,中正四路、自立二路(向北)
10,新興分局,中山所,KC98C0054,中山一路、大同一路口(向東)
11,新興分局,中山所,KC98C0314,南華路、六合一路(向南)
12,新興分局,中山所,KC98C0053,中正三路、南台路(向北)
13,新興分局,中山所,KC98C0312,南華路、六合一路(向北)
14,新興分局,中山所,KC98C0313,南華路、六合一路(向西)
15,新興分局,中山所,KC98E0455,林森一路123巷1號旁(向西)
16,新興分局,中山所,KC98E0459,大同一路126-4號(向東)108維109維
17,新興分局,中山所,KC98E0461,中山一路18號之1(向東)
18,新興分局,中山所,KC98E0462,中山一路22-1號前(南往北)-109維運
19,新興分局,中山所,KC98E0468,南台路153號(向西)109維
20,新興分局,中山所,KC98E0469,自立一路與南台橫路口(向東)108維
21,新興分局,中山所,KC98E0470,河南二路、繼光街口(向東)108維
22,新興分局,中山所,KC98E0473,八德二路與南台口(向南)
23,新興分局,中山所,KC98E0474,八德二路與同愛街口(向西)108維
24,新興分局,中山所,KC98E0475,八德二路與南台路口(向北)
25,新興分局,中山所,KC98E0476,同愛街與同愛街35巷口(東往西)108維、109維運
26,新興分局,中山所,KC98E0481,同愛街46號旁(向東)
27,新興分局,中山所,KC98E0482,民主橫路與八德二路口(向南)
28,新興分局,中山所,KC98E0483,八德二路4號(向西)108維、109維
29,新興分局,中山所,KC98E0485,七賢二路與同愛街口(向北)
30,新興分局,中山所,KC98E0486,八德二路與同愛街口(向南)
31,新興分局,中山所,KC98E0490,南台橫路與南台路口(向東)108維、109維
32,新興分局,中山所,KC98E0493,同愛街27巷與同愛街口(向西)
33,新興分局,中山所,KC98E0494,七賢二路與南台路口(向北)-109維運
34,新興分局,中山所,KC98E0495,七賢二路8巷(向南)109維
35,新興分局,中山所,KC98E0497,林森一路、林森一路167巷口(向西)108維
36,新興分局,中山所,KC98E0499,大同一路與中山一路口(向東)
37,新興分局,中山所,KC98E0501,南華路80-3號(向南)
38,新興分局,中山所,KC98E0502,南華路與林森一路145巷(向東)
39,新興分局,中山所,KC98E0503,林森一路145巷41-4號(向東)109維
40,新興分局,中山所,KC98E0504,林森一路與林森一路145巷口(向西)
41,新興分局,中山所,KC98E0505,林森一路與復橫一路口(向西)-109維運
42,新興分局,中山所,KC98E0506,南華路30-1號旁(向東)108維109維
43,新興分局,中山所,KC98E0507,林森一路與林森一路161巷口(向西)
44,新興分局,中山所,KC98E0508,林森一路161巷55號(向東)108維
45,新興分局,中山所,KC98E0509,林森一路與球庭路口(向西)
46,新興分局,中山所,KC98E0510,南華路54號(向東)
47,新興分局,中山所,KC98E0511,中正三路與南華路口(向東)
48,新興分局,中山所,KC98E0512,大同一路與中山一路口(向北)
49,新興分局,中山所,KC98E0513,南台路62巷1號(向東)108維
50,新興分局,中山所,KC98E0515,中山橫路17號(向西)108維
51,新興分局,中山所,KC98E0516,中山橫路51號旁(向東)108維
52,新興分局,中山所,KC98E0518,中山橫路73號旁(向東)
53,新興分局,中山所,KC98E0522,南台路73巷28號(向東)108維
54,新興分局,中山所,KC98E0523,南台路74巷1號(向東)108維
55,新興分局,中山所,KC98E0526,南台路70號之1(向南)108維
56,新興分局,中山所,KC98E0528,中正四路與南台路口(向北)108維
57,新興分局,中山所,KC98E0530,大同一路與南台路口(向北)
58,新興分局,中山所,KC98E0532,中正四路17號(向南)
59,新興分局,中山所,KC98E0533,南台路與南台路43巷口(向西)
60,新興分局,中山所,KC98E0534,南台路43巷、自立二路口(向東)
